"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Nr okręgu";"Liczba komisji";"Liczba uwzględnionych komisji";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba wyborców, którym wydano karty do głosowania w lokalu wyborczym oraz w głosowaniu korespondencyjnym (łącznie)";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KOMITET WYBORCZY NOWA LEWICA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"KOMITET WYBORCZY POLSKA JEST JEDNA";"KOMITET WYBORCZY WYBORCÓW RUCHU DOBROBYTU I POKOJU";"KOMITET WYBORCZY NORMALNY KRAJ";"KOMITET WYBORCZY ANTYPARTIA";"KOMITET WYBORCZY RUCH NAPRAWY POLSKI";"KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA"
280206;"gm. Płoskinia";"braniewski";"warmińsko-mazurskie";34;4;4;1746;1830;638;1108;0;1108;0;22;0;0;0;0;0;0;1108;0;0;1108;47;31;11;5;1061;14;175;69;447;71;252;28;;5;;;
280207;"gm. Wilczęta";"braniewski";"warmińsko-mazurskie";34;4;4;1970;2057;772;1199;0;1199;5;10;0;0;0;0;0;0;1198;0;0;1198;59;36;19;4;1139;16;176;73;458;93;310;10;;3;;;
280301;"m. Działdowo";"działdowski";"warmińsko-mazurskie";34;14;14;14798;15520;3821;10978;3;10981;14;77;3;0;0;0;0;3;10981;3;1;10980;210;112;83;15;10770;153;1413;941;3895;606;3627;104;;31;;;
280302;"gm. Działdowo";"działdowski";"warmińsko-mazurskie";34;21;21;7430;7243;2884;4546;6;4552;0;41;4;0;0;0;0;4;4550;4;0;4550;241;164;62;15;4309;87;564;372;2055;337;826;51;;17;;;
280303;"gm. Iłowo-Osada";"działdowski";"warmińsko-mazurskie";34;8;8;4890;5234;1368;3522;3;3525;3;68;3;0;0;0;0;3;3521;3;1;3520;156;103;46;7;3364;68;480;294;1513;277;692;30;;10;;;
280304;"gm. Lidzbark";"działdowski";"warmińsko-mazurskie";34;15;15;9972;10404;3166;6806;6;6812;11;69;6;0;0;0;0;6;6813;6;5;6808;199;136;48;15;6609;106;1160;477;3047;448;1271;84;;16;;;
280305;"gm. Płośnica";"działdowski";"warmińsko-mazurskie";34;11;11;3983;4207;1268;2715;0;2715;5;23;0;0;0;0;0;0;2715;0;0;2715;104;69;33;2;2611;47;435;196;1318;192;393;20;;10;;;
280306;"gm. Rybno";"działdowski";"warmińsko-mazurskie";34;9;9;5001;5359;1297;3702;1;3703;5;31;1;0;0;0;0;1;3703;1;0;3703;135;85;43;7;3568;70;508;216;1767;292;674;27;;14;;;
280401;"gm. Elbląg";"elbląski";"warmińsko-mazurskie";34;8;8;5317;5815;1363;3950;0;3950;3;121;0;0;0;0;0;0;3954;0;6;3948;71;28;35;8;3877;67;568;338;1227;250;1356;51;;20;;;
280402;"gm. Godkowo";"elbląski";"warmińsko-mazurskie";34;4;4;2140;2257;864;1283;3;1286;7;17;2;0;0;0;0;2;1284;2;0;1284;59;38;13;8;1225;17;163;61;649;68;251;12;;4;;;
280403;"gm. Gronowo Elbląskie";"elbląski";"warmińsko-mazurskie";34;5;5;3440;3635;1094;2346;1;2347;1;19;1;0;0;0;0;1;2347;1;1;2346;85;54;27;4;2261;45;417;159;724;125;743;35;;13;;;
280404;"gm. Markusy";"elbląski";"warmińsko-mazurskie";34;6;6;2866;2998;1009;1857;4;1861;1;34;4;1;0;0;0;3;1860;3;0;1860;80;55;20;5;1780;27;228;137;740;139;477;23;;9;;;
280405;"gm. Milejewo";"elbląski";"warmińsko-mazurskie";34;2;2;2363;2538;623;1740;0;1740;7;41;0;0;0;0;0;0;1740;0;0;1740;76;48;23;5;1664;32;274;122;586;131;501;14;;4;;;
280406;"gm. Młynary";"elbląski";"warmińsko-mazurskie";34;4;4;3146;3383;948;2198;1;2199;3;29;1;0;0;0;0;1;2199;1;4;2195;89;43;38;8;2106;32;375;157;731;175;603;22;;11;;;
280407;"gm. Pasłęk";"elbląski";"warmińsko-mazurskie";34;18;18;13387;14241;4074;9311;6;9317;21;103;5;1;0;0;0;4;9317;4;1;9316;252;168;72;12;9064;124;1249;634;2962;536;3425;107;;27;;;
280408;"gm. Rychliki";"elbląski";"warmińsko-mazurskie";34;3;3;2627;2853;982;1645;0;1645;3;23;0;0;0;0;0;0;1644;0;0;1644;62;42;19;1;1582;23;244;90;672;100;433;11;;9;;;
280409;"gm. Tolkmicko";"elbląski";"warmińsko-mazurskie";34;9;9;4260;4732;1222;3038;0;3038;3;57;0;0;0;0;0;0;3038;0;0;3038;82;49;26;7;2956;48;464;293;1039;198;871;34;;9;;;
280501;"m. Ełk";"ełcki";"warmińsko-mazurskie";35;22;22;40950;42121;13147;27802;8;27810;57;298;7;3;0;0;0;4;27792;4;8;27784;462;260;149;53;27322;485;3844;1935;9262;2257;9026;513;;;;;
280502;"gm. Ełk";"ełcki";"warmińsko-mazurskie";35;17;17;8508;8845;2920;5588;2;5590;10;104;2;0;0;0;0;2;5590;2;0;5590;174;117;49;8;5416;95;825;320;1996;506;1569;105;;;;;
280503;"gm. Kalinowo";"ełcki";"warmińsko-mazurskie";35;7;7;4749;4897;2146;2603;0;2603;8;40;0;0;0;0;0;0;2602;0;2;2600;139;78;41;20;2461;62;353;128;1261;196;422;39;;;;;
280504;"gm. Prostki";"ełcki";"warmińsko-mazurskie";35;8;8;5009;5240;2180;2829;2;2831;3;19;2;0;0;0;0;2;2831;2;0;2831;117;62;52;3;2714;63;351;126;1370;216;535;53;;;;;
280505;"gm. Stare Juchy";"ełcki";"warmińsko-mazurskie";35;4;4;2601;2710;1027;1574;2;1576;5;52;2;1;0;0;0;1;1575;1;0;1575;73;48;19;6;1502;36;254;61;622;126;391;12;;;;;
280601;"m. Giżycko";"giżycki";"warmińsko-mazurskie";35;13;13;19709;20330;5296;14405;6;14411;28;179;6;0;0;0;0;6;14414;6;2;14412;285;146;105;34;14127;397;2039;996;3883;845;5780;187;;;;;
280604;"gm. Giżycko";"giżycki";"warmińsko-mazurskie";35;17;17;6543;6981;1582;4961;3;4964;7;126;3;0;0;0;0;3;4963;3;0;4963;164;90;63;11;4799;133;755;388;1436;314;1714;59;;;;;
280605;"gm. Kruklanki";"giżycki";"warmińsko-mazurskie";35;4;4;2219;2379;656;1563;0;1563;3;15;0;0;0;0;0;0;1563;0;0;1563;43;23;17;3;1520;44;282;86;458;99;533;18;;;;;
280606;"gm. Miłki";"giżycki";"warmińsko-mazurskie";35;3;3;2680;2869;907;1773;0;1773;4;59;0;0;0;0;0;0;1773;0;0;1773;72;48;18;6;1701;52;305;93;702;161;370;18;;;;;
280608;"gm. Ryn";"giżycki";"warmińsko-mazurskie";35;7;7;3944;4252;1320;2624;4;2628;6;84;4;0;0;0;0;4;2628;4;1;2627;101;70;28;3;2526;62;343;173;1003;185;718;42;;;;;
280610;"gm. Wydminy";"giżycki";"warmińsko-mazurskie";35;10;10;4470;4656;1621;2849;0;2849;3;56;0;0;0;0;0;0;2850;0;0;2850;135;94;34;7;2715;58;753;127;1072;179;491;35;;;;;
280701;"m. Iława";"iławski";"warmińsko-mazurskie";34;19;19;23889;25330;5180;18707;10;18717;26;406;10;0;0;0;0;10;18709;10;2;18707;372;201;143;28;18335;274;3190;1574;5731;1133;6215;170;;48;;;
280702;"m. Lubawa";"iławski";"warmińsko-mazurskie";34;4;4;6650;7333;1172;5478;0;5478;11;28;0;0;0;0;0;0;5470;0;0;5470;82;52;29;1;5388;79;734;272;1899;426;1877;83;;18;;;
280703;"gm. Iława";"iławski";"warmińsko-mazurskie";34;13;13;8986;9736;2518;6468;7;6475;2;93;7;1;0;0;0;6;6474;6;0;6474;195;134;55;6;6279;125;1301;471;2327;525;1468;45;;17;;;
280704;"gm. Kisielice";"iławski";"warmińsko-mazurskie";34;10;10;4222;4397;1468;2754;0;2754;9;20;0;0;0;0;0;0;2754;0;0;2754;125;96;25;4;2629;20;1003;77;1046;136;326;13;;8;;;
280705;"gm. Lubawa";"iławski";"warmińsko-mazurskie";34;10;10;7448;8024;1898;5550;4;5554;1;33;4;0;0;0;0;4;5553;4;0;5553;198;122;60;16;5355;66;915;235;2549;683;809;84;;14;;;
280706;"gm. Susz";"iławski";"warmińsko-mazurskie";34;11;11;8437;8926;2914;5520;1;5521;3;35;1;0;0;0;0;1;5521;1;1;5520;246;152;74;20;5274;99;913;351;2153;430;1250;60;;18;;;
280707;"gm. Zalewo";"iławski";"warmińsko-mazurskie";34;4;4;4735;5048;1809;2925;2;2927;9;37;2;0;0;0;0;2;2927;2;0;2927;115;69;43;3;2812;38;382;222;1131;166;826;35;;12;;;
280801;"m. Kętrzyn";"kętrzyński";"warmińsko-mazurskie";35;16;16;18667;19237;5496;13168;15;13183;23;143;14;1;0;0;0;13;13177;13;2;13175;271;150;96;25;12904;197;1785;1083;4052;733;4884;170;;;;;
280802;"gm. Barciany";"kętrzyński";"warmińsko-mazurskie";35;5;5;4237;4408;1861;2376;0;2376;6;27;0;0;0;0;0;0;2376;0;0;2376;117;81;26;10;2259;53;358;127;994;178;523;26;;;;;
280803;"gm. Kętrzyn";"kętrzyński";"warmińsko-mazurskie";35;12;12;5605;5867;2230;3375;2;3377;6;64;2;0;0;0;0;2;3376;2;2;3374;160;111;26;23;3214;94;467;278;1193;269;871;42;;;;;
280804;"gm. Korsze";"kętrzyński";"warmińsko-mazurskie";35;10;10;7072;7196;3158;3914;10;3924;14;20;10;0;0;0;0;10;3924;10;1;3923;151;103;36;12;3772;94;517;272;1578;265;996;50;;;;;
280805;"gm. Reszel";"kętrzyński";"warmińsko-mazurskie";35;12;12;5403;5567;1946;3457;3;3460;6;70;3;0;0;0;0;3;3462;3;1;3461;130;83;38;9;3331;62;450;393;1125;204;1058;39;;;;;
280806;"gm. Srokowo";"kętrzyński";"warmińsko-mazurskie";35;5;5;2707;2832;1054;1653;0;1653;5;35;0;0;0;0;0;0;1653;0;1;1652;66;38;25;3;1586;27;232;136;586;110;467;28;;;;;
280901;"m. Lidzbark Warmiński";"lidzbarski";"warmińsko-mazurskie";34;11;11;10669;11078;2904;7765;2;7767;17;149;2;0;0;0;0;2;7766;2;0;7766;186;120;51;15;7580;93;1057;510;2094;446;3283;82;;15;;;
280902;"gm. Kiwity";"lidzbarski";"warmińsko-mazurskie";34;7;7;2338;2468;787;1551;2;1553;1;34;2;0;0;0;0;2;1553;2;0;1553;67;48;16;3;1486;24;218;77;680;131;329;21;;6;;;
280903;"gm. Lidzbark Warmiński";"lidzbarski";"warmińsko-mazurskie";34;10;10;4677;4971;1691;2986;0;2986;2;72;0;0;0;0;0;0;2986;0;1;2985;118;81;24;13;2867;38;414;208;1085;245;846;20;;11;;;
280904;"gm. Lubomino";"lidzbarski";"warmińsko-mazurskie";34;4;4;2493;2625;1008;1485;3;1488;0;16;3;0;0;0;0;3;1488;3;0;1488;56;32;18;6;1432;23;204;107;573;113;384;16;;12;;;
280905;"gm. Orneta";"lidzbarski";"warmińsko-mazurskie";34;9;9;6886;8485;1642;5247;9;5256;13;94;9;1;0;0;0;8;5255;8;5;5250;184;126;44;14;5066;180;591;380;1908;313;1608;69;;17;;;
281001;"m. Mrągowo";"mrągowski";"warmińsko-mazurskie";35;13;13;14784;15402;3900;10883;0;10883;29;160;0;0;0;0;0;0;10882;0;2;10880;180;90;63;27;10700;154;1747;632;3188;686;4125;168;;;;;
281002;"gm. Mikołajki";"mrągowski";"warmińsko-mazurskie";35;7;7;5629;5974;1816;3813;1;3814;5;216;1;0;0;0;0;1;3814;1;3;3811;138;77;49;12;3673;93;651;245;1216;192;1218;58;;;;;
281003;"gm. Mrągowo";"mrągowski";"warmińsko-mazurskie";35;12;12;5751;6115;1657;4094;1;4095;11;115;1;0;0;0;0;1;4095;1;1;4094;140;85;43;12;3954;97;719;188;1235;318;1338;59;;;;;
281004;"gm. Piecki";"mrągowski";"warmińsko-mazurskie";35;11;11;5411;5711;1834;3577;3;3580;6;97;3;1;0;0;0;2;3579;2;0;3579;122;76;34;12;3457;122;528;184;1311;264;853;195;;;;;
281005;"gm. Sorkwity";"mrągowski";"warmińsko-mazurskie";35;6;6;3258;3411;1087;2171;0;2171;5;49;0;0;0;0;0;0;2168;0;0;2168;96;64;29;3;2072;57;424;121;722;152;567;29;;;;;
281101;"gm. Janowiec Kościelny";"nidzicki";"warmińsko-mazurskie";35;5;5;2260;2386;725;1535;0;1535;6;18;0;0;0;0;0;0;1535;0;0;1535;96;52;40;4;1439;23;230;68;786;138;183;11;;;;;
281102;"gm. Janowo";"nidzicki";"warmińsko-mazurskie";35;4;4;1862;1958;605;1257;0;1257;4;18;0;0;0;0;0;0;1257;0;0;1257;55;35;18;2;1202;34;153;59;635;100;207;14;;;;;
281103;"gm. Kozłowo";"nidzicki";"warmińsko-mazurskie";35;9;9;4100;4303;1640;2460;0;2460;0;34;0;0;0;0;0;0;2460;0;0;2460;147;104;33;10;2313;65;252;145;1181;218;422;30;;;;;
281104;"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";35;19;19;14604;15351;4225;10377;12;10389;8;181;12;0;1;0;0;11;10384;11;0;10384;278;160;97;21;10106;177;1338;738;3940;636;3109;168;;;;;
281201;"m. Nowe Miasto Lubawskie";"nowomiejski";"warmińsko-mazurskie";34;7;7;7233;7680;1821;5412;1;5413;11;118;1;0;0;0;0;1;5410;1;0;5410;120;76;35;9;5290;60;1076;330;1712;411;1609;79;;13;;;
281202;"gm. Biskupiec";"nowomiejski";"warmińsko-mazurskie";34;13;13;6534;6922;2107;4427;0;4427;4;31;0;0;0;0;0;0;4429;0;0;4429;164;102;57;5;4265;47;1395;191;1861;236;491;37;;7;;;
281203;"gm. Grodziczno";"nowomiejski";"warmińsko-mazurskie";34;12;12;4351;4628;1127;3224;1;3225;4;15;1;1;0;0;0;0;3224;0;0;3224;106;59;40;7;3118;66;582;127;1699;267;331;34;;12;;;
281204;"gm. Kurzętnik";"nowomiejski";"warmińsko-mazurskie";34;13;13;6312;6797;1574;4733;0;4733;9;47;0;0;0;0;0;0;4732;0;19;4713;134;81;46;7;4579;59;1001;219;2161;435;631;54;;19;;;
281205;"gm. Nowe Miasto Lubawskie";"nowomiejski";"warmińsko-mazurskie";34;13;13;5733;6163;1555;4178;0;4178;6;50;0;0;0;0;0;0;4178;0;3;4175;114;70;35;9;4061;69;981;202;1727;368;658;42;;14;;;
281303;"gm. Kowale Oleckie";"olecki";"warmińsko-mazurskie";35;6;6;3407;3559;1566;1841;0;1841;1;23;0;0;0;0;0;0;1837;0;0;1837;96;53;39;4;1741;54;302;89;696;161;409;30;;;;;
281304;"gm. Olecko";"olecki";"warmińsko-mazurskie";35;17;17;14692;15290;4742;9952;4;9956;17;111;4;0;0;0;0;4;9955;4;6;9949;239;133;82;24;9710;185;1500;480;3501;713;3158;173;;;;;
281305;"gm. Świętajno";"olecki";"warmińsko-mazurskie";35;5;5;2639;2756;1116;1523;0;1523;2;39;0;0;0;0;0;0;1523;0;0;1523;38;26;7;5;1485;38;222;82;640;97;383;23;;;;;
281306;"gm. Wieliczki";"olecki";"warmińsko-mazurskie";35;6;6;2309;2390;888;1421;0;1421;2;18;0;0;0;0;0;0;1421;0;0;1421;64;39;17;8;1357;27;156;72;667;163;248;24;;;;;
281401;"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";35;22;22;13362;13855;3836;9520;1;9521;9;129;1;0;0;0;0;1;9525;1;4;9521;277;170;85;22;9244;201;1546;857;2632;581;3272;155;;;;;
281402;"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";35;27;27;13133;13790;4333;8799;7;8806;16;99;7;0;0;0;0;7;8805;7;0;8805;291;186;75;30;8514;118;2300;553;2705;541;2177;120;;;;;
281403;"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";35;18;18;11002;11560;3409;7595;1;7596;14;159;1;0;0;0;0;1;7596;1;1;7595;250;134;92;24;7345;131;975;578;2550;593;2439;79;;;;;
281404;"gm. Dywity";"olsztyński";"warmińsko-mazurskie";35;17;17;9802;10034;2080;7722;1;7723;14;100;1;0;0;0;0;1;7723;1;6;7717;141;70;54;17;7576;146;1265;720;1769;558;3009;109;;;;;
281405;"gm. Gietrzwałd";"olsztyński";"warmińsko-mazurskie";35;6;6;5144;5256;1290;3854;7;3861;3;150;7;0;0;0;0;7;3861;7;0;3861;83;49;30;4;3778;78;628;318;928;327;1433;66;;;;;
281406;"gm. Jeziorany";"olsztyński";"warmińsko-mazurskie";35;11;11;5396;5658;2077;3319;0;3319;9;48;0;0;0;0;0;0;3319;0;0;3319;158;108;42;8;3161;105;681;239;1205;225;670;36;;;;;
281407;"gm. Jonkowo";"olsztyński";"warmińsko-mazurskie";35;6;6;5425;5818;1225;4200;1;4201;4;50;1;0;0;0;1;0;4200;0;0;4200;99;46;42;11;4101;46;724;447;999;306;1519;60;;;;;
281408;"gm. Kolno";"olsztyński";"warmińsko-mazurskie";35;3;3;2192;2295;902;1290;0;1290;2;13;0;0;0;0;0;0;1290;0;0;1290;86;61;17;8;1204;30;259;109;494;76;222;14;;;;;
281409;"gm. Olsztynek";"olsztyński";"warmińsko-mazurskie";35;21;21;9658;10209;2891;6767;2;6769;13;128;2;0;0;0;0;2;6769;2;5;6764;258;146;88;24;6506;107;825;492;2221;456;2316;89;;;;;
281410;"gm. Purda";"olsztyński";"warmińsko-mazurskie";35;6;6;6258;6783;1620;4635;11;4646;2;105;8;0;0;0;0;8;4646;8;6;4640;143;82;37;24;4497;77;767;396;1259;319;1602;77;;;;;
281411;"gm. Stawiguda";"olsztyński";"warmińsko-mazurskie";35;10;10;9317;9791;1139;8178;5;8183;22;208;5;3;0;0;0;2;8167;2;1;8166;108;54;28;26;8058;148;1595;701;1429;649;3420;116;;;;;
281412;"gm. Świątki";"olsztyński";"warmińsko-mazurskie";35;6;6;2690;2908;1012;1677;0;1677;1;17;0;0;0;0;0;0;1677;0;0;1677;65;36;21;8;1612;37;259;145;620;112;412;27;;;;;
281501;"m. Ostróda";"ostródzki";"warmińsko-mazurskie";34;19;19;22238;23681;5107;17129;5;17134;20;233;5;1;0;0;0;4;17134;4;8;17126;345;181;134;30;16781;214;2472;1718;4542;972;6662;153;;48;;;
281502;"gm. Dąbrówno";"ostródzki";"warmińsko-mazurskie";34;5;5;2896;3105;964;1932;0;1932;4;25;0;0;0;0;0;0;1932;0;1;1931;113;68;38;7;1818;27;235;174;856;148;342;25;;11;;;
281503;"gm. Grunwald";"ostródzki";"warmińsko-mazurskie";34;6;6;3758;4016;1353;2405;0;2405;5;34;0;0;0;0;0;0;2406;0;2;2404;97;63;33;1;2307;51;377;205;1000;174;466;20;;14;;;
281504;"gm. Łukta";"ostródzki";"warmińsko-mazurskie";34;6;6;3184;3461;959;2225;1;2226;4;50;1;0;0;0;0;1;2224;1;0;2224;113;65;38;10;2111;36;440;179;623;165;638;20;;10;;;
281505;"gm. Małdyty";"ostródzki";"warmińsko-mazurskie";34;4;4;4248;4528;1622;2626;2;2628;7;43;2;1;0;0;0;1;2627;1;6;2621;100;68;30;2;2521;41;409;265;929;144;702;24;;7;;;
281506;"gm. Miłakowo";"ostródzki";"warmińsko-mazurskie";34;5;5;3761;3991;1446;2315;0;2315;5;27;0;0;0;0;0;0;2316;0;3;2313;88;62;25;1;2225;22;325;162;919;141;627;27;;2;;;
281507;"gm. Miłomłyn";"ostródzki";"warmińsko-mazurskie";34;5;5;3471;3813;973;2498;0;2498;6;64;0;0;0;0;0;0;2496;0;0;2496;107;78;26;3;2389;40;334;173;760;149;912;14;;7;;;
281508;"gm. Morąg";"ostródzki";"warmińsko-mazurskie";34;29;29;16681;17712;4882;11797;2;11799;22;145;2;0;0;0;0;2;11800;2;0;11800;335;197;119;19;11465;156;1760;732;3812;671;4176;130;;28;;;
281509;"gm. Ostróda";"ostródzki";"warmińsko-mazurskie";34;21;21;11391;12061;3290;8099;1;8100;9;126;1;0;0;0;0;1;8101;1;4;8097;327;226;83;18;7770;111;1276;840;2520;680;2220;102;;21;;;
281601;"gm. Biała Piska";"piski";"warmińsko-mazurskie";35;11;11;7864;8171;3193;4671;2;4673;13;47;2;0;0;0;0;2;4673;2;2;4671;223;168;48;7;4448;258;632;190;2234;273;805;56;;;;;
281602;"gm. Orzysz";"piski";"warmińsko-mazurskie";35;8;8;6150;6677;1902;4248;0;4248;8;129;0;0;0;0;0;0;4249;0;0;4249;126;66;49;11;4123;91;612;236;1767;339;1039;39;;;;;
281603;"gm. Pisz";"piski";"warmińsko-mazurskie";35;18;18;19051;19849;6268;12783;4;12787;26;201;4;1;0;0;0;3;12783;3;3;12780;266;142;105;19;12514;231;1760;554;5721;816;3258;174;;;;;
281604;"gm. Ruciane-Nida";"piski";"warmińsko-mazurskie";35;9;9;5662;6137;1587;4075;2;4077;15;246;2;0;0;0;0;2;4077;2;0;4077;127;69;52;6;3950;73;615;212;1574;250;1176;50;;;;;
281701;"m. Szczytno";"szczycieński";"warmińsko-mazurskie";35;20;20;16336;17197;4040;12296;9;12305;60;271;9;0;0;0;0;9;12300;9;14;12286;269;136;113;20;12017;159;1746;1241;4038;777;3861;195;;;;;
281702;"gm. Dźwierzuty";"szczycieński";"warmińsko-mazurskie";35;7;7;4602;4930;1703;2899;1;2900;10;75;1;1;0;0;0;0;2899;0;0;2899;152;97;42;13;2747;50;725;164;1102;164;492;50;;;;;
281703;"gm. Jedwabno";"szczycieński";"warmińsko-mazurskie";35;6;6;2662;2992;735;1927;0;1927;3;103;0;0;0;0;0;0;1927;0;0;1927;76;54;17;5;1851;36;415;116;685;102;487;10;;;;;
281704;"gm. Pasym";"szczycieński";"warmińsko-mazurskie";35;9;9;3769;4206;978;2790;1;2791;2;132;1;0;0;0;0;1;2792;1;1;2791;92;56;27;9;2699;54;498;182;969;192;774;30;;;;;
281705;"gm. Rozogi";"szczycieński";"warmińsko-mazurskie";35;7;7;3962;4189;1486;2476;0;2476;10;36;0;0;0;0;0;0;2476;0;0;2476;110;72;28;10;2366;46;445;89;1232;189;294;71;;;;;
281706;"gm. Szczytno";"szczycieński";"warmińsko-mazurskie";35;20;20;9362;9983;2464;6896;1;6897;9;127;1;0;0;0;0;1;6899;1;3;6896;261;171;70;20;6635;123;1402;477;2276;490;1751;116;;;;;
281707;"gm. Świętajno";"szczycieński";"warmińsko-mazurskie";35;9;9;4175;4536;1165;3010;0;3010;11;115;0;0;0;0;0;0;3011;0;1;3010;145;79;62;4;2865;40;589;138;1195;228;640;35;;;;;
281708;"gm. Wielbark";"szczycieński";"warmińsko-mazurskie";35;6;6;4490;4796;1653;2837;0;2837;3;34;0;0;0;0;0;0;2837;0;1;2836;130;97;23;10;2706;49;668;135;1176;209;439;30;;;;;
281801;"gm. Banie Mazurskie";"gołdapski";"warmińsko-mazurskie";35;4;4;2585;2717;997;1588;0;1588;7;28;0;0;0;0;0;0;1588;0;0;1588;75;53;18;4;1513;46;240;105;624;77;411;10;;;;;
281802;"gm. Dubeninki";"gołdapski";"warmińsko-mazurskie";35;3;3;2000;2076;868;1132;1;1133;3;27;1;0;0;0;0;1;1133;1;0;1133;60;38;19;3;1073;60;125;73;530;88;180;17;;;;;
281803;"gm. Gołdap";"gołdapski";"warmińsko-mazurskie";35;18;18;13828;14088;4850;8978;4;8982;14;322;4;0;0;0;0;4;8982;4;4;8978;245;158;70;17;8733;308;1427;564;2932;494;2904;104;;;;;
281901;"gm. Budry";"węgorzewski";"warmińsko-mazurskie";35;5;5;2060;2151;773;1287;0;1287;0;31;0;0;0;0;0;0;1287;0;0;1287;66;45;21;0;1221;42;213;63;563;77;243;20;;;;;
281902;"gm. Pozezdrze";"węgorzewski";"warmińsko-mazurskie";35;3;3;2322;2530;735;1587;1;1588;0;43;1;0;0;0;0;1;1587;1;0;1587;76;46;19;11;1511;51;265;91;591;74;413;26;;;;;
281903;"gm. Węgorzewo";"węgorzewski";"warmińsko-mazurskie";35;21;21;11545;12114;3569;7976;4;7980;15;157;4;1;0;0;0;3;7979;3;0;7979;227;136;71;20;7752;165;1394;758;2465;486;2387;97;;;;;
286101;"Elbląg";"Elbląg";"warmińsko-mazurskie";34;62;62;80674;86152;17138;63443;53;63496;114;1783;52;7;0;0;0;45;63470;44;45;63425;911;456;343;112;62514;717;7949;6646;18222;3281;24820;659;;220;;;
286201;"Olsztyn";"Olsztyn";"warmińsko-mazurskie";35;101;101;118746;127035;19818;98935;120;99055;174;2175;111;10;0;1;1;99;99024;100;82;98942;1282;514;600;168;97660;1482;15277;10863;23636;6370;38726;1306;;;;;
300101;"m. Chodzież";"chodzieski";"wielkopolskie";38;11;11;13020;13803;2511;10517;1;10518;37;256;1;0;0;0;0;1;10510;1;9;10501;234;144;67;23;10267;572;1477;987;2243;510;4371;107;;;;;
300102;"gm. Budzyń";"chodzieski";"wielkopolskie";38;10;10;5799;6259;1367;4432;1;4433;1;47;1;0;0;0;1;0;4430;0;0;4430;178;104;59;15;4252;124;785;354;1177;318;1403;91;;;;;
300103;"gm. Chodzież";"chodzieski";"wielkopolskie";38;8;8;4264;4630;813;3451;1;3452;2;42;1;0;0;0;0;1;3450;1;2;3448;114;80;22;12;3334;178;589;267;845;219;1184;52;;;;;
300104;"gm. Margonin";"chodzieski";"wielkopolskie";38;9;9;4462;4826;773;3689;1;3690;8;25;1;0;0;0;0;1;3690;1;0;3690;131;92;27;12;3559;71;966;264;970;237;1009;42;;;;;
300105;"gm. Szamocin";"chodzieski";"wielkopolskie";38;7;7;5226;5608;1342;3882;0;3882;4;23;0;0;0;0;0;0;3884;0;3;3881;108;66;26;16;3773;118;737;242;1234;293;1095;54;;;;;
300201;"m. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";38;6;6;7365;7737;1585;5779;1;5780;13;66;1;0;0;0;0;1;5780;1;0;5780;86;50;27;9;5694;68;808;414;1418;283;2621;82;;;;;
300202;"gm. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";38;17;17;7943;8566;1988;5955;2;5957;2;60;2;0;0;0;0;2;5956;2;1;5955;218;131;68;19;5737;92;1021;399;1871;464;1774;116;;;;;
